City Number,City Name,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Windspeed
0,Hilo,90,US,1611978982,73,19.7297,-155.09,75.2,6.91
1,Sumbe,100,AO,1611979427,81,-11.2061,13.8437,73.76,3.33
2,Rikitea,24,PF,1611979228,72,-23.1203,-134.9692,80.19,9.82
3,Sørland,20,NO,1611979427,74,67.667,12.6934,23.0,2.3
4,Lebu,96,CL,1611979281,90,-37.6167,-73.65,56.89,6.08
5,Punta Arenas,40,CL,1611979245,81,-53.15,-70.9167,46.4,20.71
6,Buraidah,0,SA,1611979428,71,26.326,43.975,48.2,4.61
7,Busselton,0,AU,1611979254,41,-33.65,115.3333,82.99,4.0
8,Umm Kaddadah,0,SD,1611979428,32,13.6017,26.6876,59.14,18.01
9,Kruisfontein,0,ZA,1611979391,91,-34.0033,24.7314,55.0,4.23
10,Kumul,0,CN,1611979254,78,42.8,93.45,28.63,1.52
11,Upernavik,0,GL,1611979397,84,72.7868,-56.1549,-8.79,10.27
12,Tura,0,IN,1611979429,36,25.5198,90.2201,68.65,3.44
13,Kungurtug,100,RU,1611979429,90,50.5994,97.5228,19.83,13.85
14,Seoul,20,KR,1611979383,56,37.5683,126.9778,37.4,2.3
15,Mataura,0,NZ,1611979160,39,-46.1927,168.8643,69.17,1.72
16,Nioaque,100,BR,1611979430,82,-21.1353,-55.83,74.66,5.48
17,Bengkulu,98,ID,1611979313,62,-3.8004,102.2655,85.33,3.6
18,Qaanaaq,0,GL,1611979340,63,77.484,-69.3632,-13.32,5.21
19,Port Elizabeth,0,ZA,1611979239,88,-33.918,25.5701,57.2,4.61
20,Yaan,39,NG,1611979431,71,7.3833,8.5667,69.15,4.88
21,Verkhnyaya Inta,100,RU,1611979431,84,65.9811,60.3094,-2.9,17.94
22,Mbekenyera,99,TZ,1611979431,96,-10.0,38.9833,71.82,3.56
23,Severo-Kuril'sk,100,RU,1611979242,91,50.6789,156.125,24.69,17.96
24,Shimoda,40,JP,1611979432,46,34.6667,138.95,46.4,5.75
25,New Norfolk,75,AU,1611979258,50,-42.7826,147.0587,75.2,11.5
26,Pailón,75,BO,1611979433,88,-17.65,-62.75,75.2,12.66
27,Maniitsoq,0,GL,1611979433,76,65.4167,-52.9,19.26,5.53
28,Tuktoyaktuk,1,CA,1611979227,67,69.4541,-133.0374,-36.4,2.3
29,Tairua,9,NZ,1611979433,56,-37.0167,175.85,70.0,7.0
30,Lakhtar,0,IN,1611979434,27,22.85,71.7833,65.64,11.34
31,Yellowknife,1,CA,1611979227,76,62.456,-114.3525,-18.0,5.75
32,Husavik,90,IS,1611979434,86,66.0449,-17.3389,26.6,17.27
33,Noumea,0,NC,1611979394,58,-22.2763,166.4572,86.0,21.85
34,Esperance,0,AU,1611979435,43,-33.8667,121.9,75.2,13.8
35,Ushuaia,40,AR,1611979155,75,-54.8,-68.3,42.8,17.27
36,Camacupa,91,AO,1611979435,92,-12.0167,17.4833,59.56,1.61
37,Ahipara,64,NZ,1611979402,67,-35.1667,173.1667,66.79,5.61
38,Port Lincoln,21,AU,1611979170,58,-34.7333,135.8667,67.14,15.5
39,Hermanus,63,ZA,1611979172,90,-34.4187,19.2345,62.01,1.01
40,Uusikaupunki,90,FI,1611979436,86,60.8004,21.4084,21.2,8.05
41,Flinders,75,AU,1611979436,69,-34.5833,150.8552,84.99,5.99
42,Ibrā’,0,OM,1611979436,34,22.6906,58.5334,63.66,2.24
43,Kaitangata,19,NZ,1611979252,68,-46.2817,169.8464,57.99,10.0
44,George Town,20,MY,1611979158,61,5.4112,100.3354,86.0,8.05
45,Puerto Ayora,38,EC,1611979255,94,-0.7393,-90.3518,77.0,5.01
46,East London,16,ZA,1611979244,75,-33.0153,27.9116,69.03,3.71
47,Waingapu,100,ID,1611979300,79,-9.6567,120.2641,81.34,12.88
48,Haines Junction,100,CA,1611979390,84,60.7522,-137.5108,-11.2,1.52
49,Nanortalik,99,GL,1611979337,91,60.1432,-45.2371,32.4,8.03
50,Rangāpāra,3,IN,1611979438,34,26.8167,92.65,71.24,2.42
51,Wad Medani,0,SD,1611979439,29,14.4012,33.5199,62.22,13.13
52,Clyde River,1,CA,1611979439,83,70.4692,-68.5914,-16.6,5.75
53,Trairi,93,BR,1611979439,80,-3.2778,-39.2689,79.03,9.91
54,Sampit,100,ID,1611979439,86,-2.5333,112.95,78.67,5.48
55,Pevek,18,RU,1611979429,85,69.7008,170.3133,-30.42,4.05
56,Longyearbyen,20,SJ,1611979381,50,78.2186,15.6401,-0.4,24.16
57,Arraial do Cabo,77,BR,1611979208,84,-22.9661,-42.0278,76.84,24.63
58,Aklavik,93,CA,1611979394,68,68.2191,-135.0107,-27.4,0.22
59,Lavrentiya,0,RU,1611979440,81,65.5833,-171.0,-18.71,9.53
60,Saint-Philippe,0,RE,1611979247,48,-21.3585,55.7679,84.2,5.75
61,Brae,75,GB,1611979240,80,60.3964,-1.353,32.0,8.05
62,Porto Murtinho,98,BR,1611979441,88,-21.6989,-57.8825,74.93,8.01
63,Mana,92,GF,1611979441,89,5.6592,-53.7767,76.68,13.6
64,Ucluelet,100,CA,1611979357,90,48.9329,-125.5528,42.01,4.0
65,Jamestown,90,US,1611979241,73,42.097,-79.2353,19.0,13.8
66,Bluff,0,NZ,1611979243,75,-46.6,168.3333,54.23,15.23
67,Saint Paul Harbor,1,US,1611979337,55,57.79,-152.4072,35.6,16.11
68,Poum,28,NC,1611979442,73,-20.2333,164.0167,80.6,8.66
69,Saint Andrews,1,US,1611979443,80,34.0454,-81.1293,33.8,5.66
70,Kapaa,40,US,1611979238,78,22.0752,-159.319,75.2,16.11
71,Lensk,74,RU,1611979443,76,60.7253,114.9278,-38.38,3.89
72,Vostok,99,RU,1611979443,87,46.4856,135.8833,-4.9,4.54
73,Albany,6,US,1611979204,50,42.6001,-73.9662,9.0,3.0
74,Narsaq,75,GL,1611979444,33,60.9167,-46.05,41.0,34.52
75,Kavieng,89,PG,1611979444,76,-2.5744,150.7967,84.33,14.5
76,Fairbanks,1,US,1611979444,77,64.8378,-147.7164,1.0,2.39
77,Faanui,100,PF,1611979430,67,-16.4833,-151.75,81.23,4.76
78,Vaini,90,TO,1611979243,89,-21.2,-175.2,80.6,14.97
79,Atar,47,MR,1611979445,27,20.5169,-13.0499,64.65,11.56
80,Namatanai,40,PG,1611979445,77,-3.6667,152.4333,84.09,14.0
81,Sept-Îles,0,CA,1611979445,61,50.2001,-66.3821,10.4,8.05
82,Linao,99,PH,1611979446,63,7.1678,124.9675,85.96,5.14
83,Chetwayi,100,IN,1611979446,78,10.5333,76.05,78.8,3.44
84,Ascension,1,US,1611979446,87,30.2169,-90.9001,46.99,6.11
85,Dubti,0,ET,1611979446,85,11.7361,41.0853,62.65,3.31
86,Caucayá,49,CO,1611979402,73,-0.1934,-74.7819,73.65,2.06
87,Hasaki,20,JP,1611979313,23,35.7333,140.8333,46.0,20.71
88,Doha,0,QA,1611979380,82,25.2867,51.5333,68.0,10.36
89,Şuhut,96,TR,1611979447,86,38.5311,30.5458,31.73,8.08
90,Collie,0,AU,1611979447,42,-33.3667,116.15,77.0,3.0
91,Kahului,40,US,1611979448,73,20.8947,-156.47,73.4,17.27
92,Yeniseysk,84,RU,1611979448,82,58.4497,92.1703,-25.04,4.92
93,Burla,0,IN,1611979448,82,21.5,83.8667,60.8,4.61
94,Klaksvík,75,FO,1611979338,69,62.2266,-6.589,32.0,10.36
95,Krasnogorskoye,100,RU,1611979449,97,52.2953,86.1979,21.16,11.07
96,Krasnosel'kup,12,RU,1611979449,78,65.7,82.4667,-34.38,3.2
97,Comodoro Rivadavia,0,AR,1611979155,71,-45.8667,-67.5,51.8,2.24
98,Tacarigua,88,VE,1611979449,90,10.0862,-67.9198,67.69,4.45
99,Cape Town,75,ZA,1611979338,94,-33.9258,18.4232,70.0,3.44
