City Number,City Name,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Windspeed
0,Nikolskoye,75,RU,1611994568,93,59.7035,30.7861,30.2,8.95
1,Jamestown,90,US,1611994568,86,42.097,-79.2353,19.0,6.91
2,Butaritari,100,KI,1611994509,77,3.0707,172.7902,80.92,14.52
3,Omboué,81,GA,1611994569,82,-1.5746,9.2618,80.85,6.22
4,Henties Bay,98,NA,1611994569,80,-22.116,14.2845,65.41,5.35
5,Gympie,34,AU,1611994284,81,-26.1898,152.665,73.0,1.99
6,Busselton,0,AU,1611994570,27,-33.65,115.3333,93.0,1.99
7,Havøysund,90,NO,1611994570,80,70.9963,24.6622,23.0,13.8
8,Sola,100,VU,1611994570,82,-13.8833,167.55,82.74,20.85
9,Avarua,99,CK,1611994571,89,-21.2078,-159.775,78.8,2.3
10,Rikitea,7,PF,1611994571,75,-23.1203,-134.9692,79.38,11.23
11,Christchurch,0,NZ,1611994426,67,-43.5333,172.6333,57.2,13.8
12,Norman Wells,75,CA,1611994572,75,65.282,-126.8329,-27.4,3.62
13,Hithadhoo,9,MV,1611994572,77,-0.6,73.0833,81.64,13.47
14,Severo-Kuril'sk,100,RU,1611994572,92,50.6789,156.125,24.46,22.84
15,Moramanga,17,MG,1611994573,51,-18.9333,48.2,82.56,3.47
16,Port Alfred,66,ZA,1611994573,68,-33.5906,26.891,73.99,4.0
17,Persianovskiy,75,RU,1611994573,87,47.5137,40.1075,39.2,11.18
18,Longyearbyen,20,SJ,1611994574,50,78.2186,15.6401,-0.4,26.46
19,Mineros,90,BO,1611994574,94,-17.1167,-63.2333,73.4,14.97
20,Muros,56,ES,1611994574,85,42.7762,-9.0603,52.0,5.99
21,Qena,0,EG,1611994574,62,26.1615,32.7183,55.4,3.98
22,Al Bardīyah,0,LY,1611994574,61,31.7561,25.0865,61.11,30.44
23,Ponta do Sol,29,PT,1611994575,90,32.6667,-17.1,57.0,1.01
24,Bredasdorp,3,ZA,1611994575,66,-34.5322,20.0403,73.99,4.0
25,Cape Town,75,ZA,1611994498,50,-33.9258,18.4232,75.2,5.75
26,Mahébourg,75,MU,1611994576,66,-20.4081,57.7,87.8,11.5
27,Punta Arenas,40,CL,1611994287,76,-53.15,-70.9167,44.6,5.75
28,Albany,0,US,1611994447,77,42.6001,-73.9662,6.01,8.55
29,Ushuaia,40,AR,1611994521,81,-54.8,-68.3,39.2,13.8
30,Petrolina de Goiás,0,BR,1611994576,78,-16.095,-49.3381,69.8,5.75
31,New Norfolk,43,AU,1611994577,56,-42.7826,147.0587,70.0,1.99
32,Torbay,90,CA,1611994577,93,47.6666,-52.7314,28.99,18.41
33,Saint Paul Harbor,1,US,1611994577,55,57.79,-152.4072,35.6,16.11
34,Lagoa,53,PT,1611994577,93,39.05,-27.9833,61.48,17.45
35,Provideniya,6,RU,1611994578,84,64.3833,-173.3,-9.08,3.0
36,Bluff,0,NZ,1611994578,79,-46.6,168.3333,53.47,12.33
37,Ogulin,75,HR,1611994578,87,45.2661,15.2286,48.2,5.75
38,Benghazi,0,LY,1611994578,70,32.1167,20.0667,65.57,18.43
39,Hasaki,20,JP,1611994578,33,35.7333,140.8333,41.0,9.22
40,Hobyo,21,SO,1611994579,60,5.3505,48.5268,80.51,19.04
41,Bandarbeyla,17,SO,1611994579,63,9.4942,50.8122,77.11,13.49
42,Baoying,8,CN,1611994579,48,33.2292,119.3092,54.64,6.02
43,Sibu,40,MY,1611994579,89,2.3,111.8167,80.6,4.61
44,San Patricio,90,US,1611994579,88,28.017,-97.5169,66.0,11.5
45,Kahului,20,US,1611994561,83,20.8947,-156.47,69.8,10.36
46,Ancud,0,CL,1611994580,93,-41.8697,-73.8203,46.99,2.86
47,Lázaro Cárdenas,19,MX,1611994580,78,17.9583,-102.2,73.42,4.94
48,Den Helder,20,NL,1611994581,80,52.9599,4.7593,34.0,16.11
49,Korsholm,90,FI,1611994581,93,63.1142,21.6822,21.2,17.27
50,Kruisfontein,0,ZA,1611994581,48,-34.0033,24.7314,79.0,5.01
51,Castro,100,BR,1611994581,96,-24.7911,-50.0119,63.68,3.6
52,Suzun,100,RU,1611994581,96,53.7841,82.3116,18.68,4.94
53,Port Elizabeth,0,ZA,1611994582,50,-33.918,25.5701,75.2,18.41
54,Bogorodskoye,100,RU,1611994582,97,56.55,37.8833,22.66,12.39
55,Cidreira,34,BR,1611994583,89,-30.1811,-50.2056,73.8,7.47
56,Hermanus,49,ZA,1611994583,66,-34.4187,19.2345,73.99,4.0
57,San Andrés,20,CO,1611994341,74,12.5847,-81.7006,80.6,13.8
58,Okhotsk,0,RU,1611994583,83,59.3833,143.3,-10.44,10.09
59,Vao,22,NC,1611994583,75,-22.6667,167.4833,76.08,20.07
60,Souillac,75,MU,1611994584,66,-20.5167,57.5167,87.8,11.5
61,Dikson,64,RU,1611994584,84,73.5069,80.5464,-34.51,9.24
62,Santa Rosa,75,PH,1611994584,51,14.3122,121.1114,82.4,14.97
63,Pevek,98,RU,1611994331,86,69.7008,170.3133,-27.54,4.94
64,Atuona,17,PF,1611994585,77,-9.8,-139.0333,78.46,20.07
65,Bajina Bašta,75,RS,1611994585,100,43.9708,19.5675,35.6,5.75
66,Hobart,40,AU,1611994585,59,-42.8794,147.3294,70.0,21.85
67,Puerto Ayora,24,EC,1611994585,91,-0.7393,-90.3518,77.0,5.99
68,Vaini,90,TO,1611994585,94,-21.2,-175.2,77.0,10.36
69,Japura,76,ID,1611994586,82,-0.3167,102.35,82.26,3.96
70,Ponta Delgada,75,PT,1611994586,94,37.7333,-25.6667,60.8,10.36
71,Tasiilaq,40,GL,1611994586,45,65.6145,-37.6368,15.8,16.11
72,Sobolevo,100,RU,1611994586,97,54.4299,31.8996,21.74,14.61
73,Prince Rupert,90,CA,1611994586,60,54.3161,-130.3201,42.8,23.02
74,Grand Gaube,0,MU,1611994587,68,-20.0064,57.6608,87.01,11.01
75,Ilulissat,0,GL,1611994587,55,69.2167,-51.1,-0.4,8.05
76,Anloga,40,GH,1611994587,89,5.7947,0.8973,78.8,3.44
77,Kapaa,75,US,1611994587,78,22.0752,-159.319,73.4,19.57
78,Seddon,90,AU,1611994587,72,-37.8068,144.8916,64.99,18.41
79,Korem,26,ET,1611994588,30,12.5058,39.5228,62.37,8.43
80,Río Gallegos,0,AR,1611994588,81,-51.6226,-69.2181,42.8,10.36
81,Xinyang,100,CN,1611994588,34,32.1228,114.0656,58.32,4.81
82,Kavieng,92,PG,1611994589,78,-2.5744,150.7967,83.46,14.23
83,Bubaque,0,GW,1611994589,56,11.2833,-15.8333,77.68,7.92
84,Pedasí,6,PA,1611994589,74,7.5333,-80.0333,78.53,24.29
85,Hearst,83,CA,1611994589,84,49.6835,-83.6665,-2.2,2.3
86,Qinzhou,0,CN,1611994589,43,21.95,108.6167,75.11,10.98
87,Tiksi,100,RU,1611994590,87,71.6872,128.8694,-25.58,5.57
88,Cayenne,75,GF,1611994590,100,4.9333,-52.3333,75.2,12.66
89,Tigil',97,RU,1611994590,91,57.8,158.6667,-5.31,8.55
90,Warrnambool,100,AU,1611994590,80,-38.3833,142.4833,64.0,9.91
91,Bolobo,100,CD,1611994591,91,-2.1667,16.2333,74.23,2.75
92,Thompson,90,CA,1611994591,92,55.7435,-97.8558,10.4,4.61
93,Ambon City,40,ID,1611994456,58,-3.6954,128.1814,89.6,9.22
94,Lexington,1,US,1611994591,68,37.9887,-84.4777,26.01,8.05
95,Waterloo,90,CA,1611994457,86,43.4668,-80.5164,15.8,2.3
96,Terme,0,TR,1611994592,29,41.2092,36.9739,50.0,14.97
97,Alvorada,100,BR,1611994592,94,-12.48,-49.1247,70.84,3.71
98,Lavrentiya,0,RU,1611994592,82,65.5833,-171.0,-19.05,8.25
99,Namatanai,83,PG,1611994593,80,-3.6667,152.4333,82.42,11.83
100,Yellowknife,20,CA,1611994337,76,62.456,-114.3525,-20.99,6.91
101,Itinga,6,BR,1611994593,88,-16.6131,-41.7653,65.86,1.5
102,Pacific Grove,1,US,1611994593,87,36.6177,-121.9166,46.99,6.91
103,Myrtle Beach,1,US,1611994503,93,33.6891,-78.8867,30.2,4.61
104,Trelew,0,AR,1611994594,59,-43.249,-65.3051,52.27,1.7
105,Qaanaaq,98,GL,1611994594,67,77.484,-69.3632,-9.89,4.63
106,Ghanzi,100,BW,1611994594,79,-21.5667,21.7833,72.57,12.71
107,Nome,1,US,1611994594,65,64.5011,-165.4064,-5.8,25.32
108,Port Lincoln,0,AU,1611994595,66,-34.7333,135.8667,64.38,16.98
109,Te Anau,0,NZ,1611994595,82,-45.4167,167.7167,56.93,3.04
110,Santiago del Estero,96,AR,1611994595,60,-27.7951,-64.2615,81.9,13.11
111,Qaqortoq,75,GL,1611994596,28,60.7167,-46.0333,42.8,28.77
112,Kokopo,100,PG,1611994596,79,-4.352,152.2633,82.33,10.16
113,Gravdal,20,NO,1611994596,69,68.1214,13.5031,30.2,6.91
114,Oxapampa,100,PE,1611994596,91,-10.5775,-75.4017,59.61,0.83
115,George Town,40,MY,1611994597,51,5.4112,100.3354,91.0,6.91
116,Aripuanã,96,BR,1611994597,97,-9.1667,-60.6333,72.82,0.31
